# name	repository	commit	skill-path
analyze-data-quality	https://github.com/openai/role-specific-plugins.git	fe5608d2512a7d6a7b9821ce8a88c48464ecd6e4	plugins/data-analytics/skills/analyze-data-quality
api-and-interface-design	https://github.com/addyosmani/agent-skills.git	6ca0cd7db39b41b1c37e26d335c507ee92382c6d	skills/api-and-interface-design
brainstorming	https://github.com/obra/superpowers.git	b36e0829c6d0140e93cfef2ca599b1b07d4a7797	skills/brainstorming
browser-testing-with-devtools	https://github.com/addyosmani/agent-skills.git	6ca0cd7db39b41b1c37e26d335c507ee92382c6d	skills/browser-testing-with-devtools
build-dashboard	https://github.com/openai/role-specific-plugins.git	fe5608d2512a7d6a7b9821ce8a88c48464ecd6e4	plugins/data-analytics/skills/build-dashboard
build-report	https://github.com/openai/role-specific-plugins.git	fe5608d2512a7d6a7b9821ce8a88c48464ecd6e4	plugins/data-analytics/skills/build-report
caveman	https://github.com/JuliusBrussee/caveman.git	81536f57b3303b7de7f5bc5b564cc344f9112d68	skills/caveman
code-review	https://github.com/mattpocock/skills.git	3cca18b368ae95cdbdebbff572ccafa662551015	skills/engineering/code-review
code-review-and-quality	https://github.com/addyosmani/agent-skills.git	6ca0cd7db39b41b1c37e26d335c507ee92382c6d	skills/code-review-and-quality
code-simplification	https://github.com/addyosmani/agent-skills.git	6ca0cd7db39b41b1c37e26d335c507ee92382c6d	skills/code-simplification
codebase-design	https://github.com/mattpocock/skills.git	3cca18b368ae95cdbdebbff572ccafa662551015	skills/engineering/codebase-design
create-data-context	https://github.com/openai/role-specific-plugins.git	fe5608d2512a7d6a7b9821ce8a88c48464ecd6e4	plugins/data-analytics/skills/create-data-context
deprecation-and-migration	https://github.com/addyosmani/agent-skills.git	6ca0cd7db39b41b1c37e26d335c507ee92382c6d	skills/deprecation-and-migration
design-kpis	https://github.com/openai/role-specific-plugins.git	fe5608d2512a7d6a7b9821ce8a88c48464ecd6e4	plugins/data-analytics/skills/design-kpis
diagnosing-bugs	https://github.com/mattpocock/skills.git	3cca18b368ae95cdbdebbff572ccafa662551015	skills/engineering/diagnosing-bugs
dispatching-parallel-agents	https://github.com/obra/superpowers.git	b36e0829c6d0140e93cfef2ca599b1b07d4a7797	skills/dispatching-parallel-agents
documentation-and-adrs	https://github.com/addyosmani/agent-skills.git	6ca0cd7db39b41b1c37e26d335c507ee92382c6d	skills/documentation-and-adrs
domain-modeling	https://github.com/mattpocock/skills.git	3cca18b368ae95cdbdebbff572ccafa662551015	skills/engineering/domain-modeling
executing-plans	https://github.com/obra/superpowers.git	b36e0829c6d0140e93cfef2ca599b1b07d4a7797	skills/executing-plans
